"GeneSymbol","Entrez_ID"
"LMX1A","4009"
"ZFAT","57623"
"MIR30B","407030"
"CREBBP","1387"
"KCNJ5","3762"
"RAB1A","5861"
"HSPG2","3339"
"CELA3B","23436"
"LINC01708","101928270"
"RHPN1","114822"
"TMEM18","129787"
"LINC01875","101927362"
"ARID2","196528"
"MTCO2P6","107075266"
"SEMA5B","54437"
"DLC1","10395"
"LPL","4023"
"RPL30P9","100270981"
"PCCA","5095"
"ALPK1","80216"
"CCND2","894"
"ANKRD31","256006"
"HMGCR","3156"
"E4F1","1877"
"PGP","283871"
"GFPT1","2673"
"SEPTIN6","23157"
"SOWAHD","347454"
"SEMA3C","10512"
"EIF4EP4","100421455"
"FGF13","2258"
"ZNF385D","79750"
"MYPN","84665"
"HERC4","26091"
"GCKR","2646"
"REST","5978"
"ADAM15","8751"
"NME2P3","100288125"
"GALNT12","79695"
"SIGLEC30P","114190"
"DND1P1","644157"
"RDM1P1","112577465"
"AMZ1","155185"
"GNA12","2768"
"VPS37D","155382"
"MLXIPL","51085"
"GTF2IRD2","84163"
"IKZF3","22806"
"THEMIS3P","100420484"
"AKR1B1P6","100129769"
"ZBTB17","7709"
"SMAD7","4092"
"DTNA","1837"
"CCDC62","84660"
"ERBB2","2064"
"PTCSC2","101928337"
"MYH11","4629"
"AKIRIN2","55122"
"FENDRR","400550"
"LINC00917","732275"
"RPL23AP48","728567"
"SIM1","6492"
"PRDX2P4","442239"
"FGF14","2259"
"ZPR1","8882"
"PUS10","150962"
"SPEN","23013"
"TNFSF12","8742"
"ATP2A3","489"
"LINC01975","105371496"
"CEP112","201134"
"PSMD7P1","280637"
"ARHGAP17","55114"
"HAGHL","84264"
"CIAO3","64428"
"SMAD4","4089"
"SRSF10P1","100130799"
"RUNX1","861"
"VEGFA","7422"
"LINC02537","285857"
